 # chars used for the type:
 # ,: a comma
 # g: a givenname
 # s: a surname
 # v: "von" and variants
 # d: "der" and variants (only used in conjunction with von: "von der Vogelweide"
 # z: "zu" and variants
 # u: "und" (only used in vuz)

Arnulf	g	0	1		
Aron	g	0	1		
Arrhidaios	g	0	1		
Arsenije	g	0	1		
Arslan	g	0	1		
Art	g	0	1		
Artem	g	0	1		
Arthur	g	0	1		
Artin	g	0	1		
Artjom	g	0	1		
Arttu	g	0	1		
Artturi	g	0	1		
Artula	g	0	1		
Arūnas	g	0	1		
Arved	g	0	1		
Arvid	g	0	1		
Arvo	g	0	1		
Arvydas	g	0	1		
Arzu	g	0	1		
Åsa	g	0	1		
Asbjörn	g	0	1		
Asbjørn	g	0	1		
Ásbjörn	g	0	1		
Aschot	g	0	1		
Åse	g	0	1		
Ásgeir	g	0	1		
Asger	g	0	1		
Ashley	g	0	1		
Asim	g	0	1		
Asios	g	0	1		
Aşkın	g	0	1		
Aslan	g	0	1		
Aslı	g	0	1		
Asmund	g	0	1		
Ásmundur	g	0	1		
Asmus	g	0	1		
Assan	g	0	1		
Assar	g	0	1		
Assol	g	0	1		
Asterion	g	0	1		
Asterius	g	0	1		
Astrid	g	0	1		
Atalay	g	0	1		
Atanas	g	0	1		
Atanasije	g	0	1		
Atarah	g	0	1		
Atay	g	0	1		
Athanasios	g	0	1		
Atilla	g	0	1		
Attila	g	0	1		
Atze	g	0	1		
Audrey	g	0	1		
Audrun	g	0	1		
Audun	g	0	1		
August	g	0	1		
Augusta	g	0	1		
Auguste	g	0	1		
Augustin	g	0	1		
Augustinas	g	0	1		
Augustine	g	0	1		
Augustinus	g	0	1		
Augusto	g	0	1		
Augustus	g	0	1		
Auke	g	0	1		
Aukje	g	0	1		
Aulis	g	0	1		
Aulus	g	0	1		
Aurelia	g	0	1		
Aurora	g	0	1		
Austėja	g	0	1		
Ava	g	0	1		
Avcı	g	0	1		
Avery	g	0	1		
Aviv	g	0	1		
Aviva	g	0	1		
Avni	g	0	1		
Avril	g	0	1		
Awgust	g	0	1		
Axel	g	0	1		
Ayan	g	0	1		
Aydan	g	0	1		
Aydın	g	0	1		
Aydoğan	g	0	1		
Aygun	g	0	1		
Aygün	g	0	1		
Ayhan	g	0	1		
Ayık	g	0	1		
Aykut	g	0	1		
Ayla	g	0	1		
Aylin	g	0	1		
Ayşe	g	0	1		
Aysel	g	0	1		
Aytaç	g	0	1		
Ayvaz	g	0	1		
Azadeh	g	0	1		
Azaria	g	0	1		
Babak	g	0	1		
Babatunde	g	0	1		
Babette	g	0	1		
Badea	g	0	1		
Bahar	g	0	1		
Bahriye	g	0	1		
Bakari	g	0	1		
Bakary	g	0	1		
Baki	g	0	1		
Bakr	g	0	1		
Balasingam	g	0	1		
Baldred	g	0	1		
Balduin	g	0	1		
Baldur	g	0	1		
Bálint	g	0	1		
Balthasar	g	0	1		
Baptist	g	0	1		
Barack	g	0	1		
Baran	g	0	1		
Barbara	g	0	1		
Bärbel	g	0	1		
Barbro	g	0	1		
Barend	g	0	1		
Barış	g	0	1		
Barnabas	g	0	1		
Barney	g	0	1		
Barnim	g	0	1		
Barry	g	0	1		
Barthel	g	0	1		
Barthélemy	g	0	1		
Bartholemew	g	0	1		
Bartholomäus	g	0	1		
Bartholomeus	g	0	1		
Bartimäus	g	0	1		
Bartolomé	g	0	1		
Bartolomeo	g	0	1		
Bartolomeu	g	0	1		
Bartolommeo	g	0	1		
Baruch	g	0	1		
Bas	g	0	1		
Basil	g	0	1		
Basilius	g	0	1		
Bastian	g	0	1		
